fixed acidity,residual sugar,total sulfur dioxide,density,pH,alcohol,quality
6.4,2.9,102,0.9912,3.17,11,7
7,7.4,160,0.9954,3.13,9.8,6
6.8,0.9,132,0.993,3.05,9.1,6
6.2,1.2,120,0.9934,3.22,9.1,5
7.1,11.8,152,0.9975,3.12,8.7,6
7.4,13.5,192,0.9975,3,9.1,5
6,3.3,143,0.9914,3.31,11.3,6
6.7,13.1,205,0.997,3.15,9.5,5
6.9,11.2,142,0.9975,3.14,8.7,5
8.5,16.2,197,0.998,3.02,9.8,3
6.9,19.45,156,0.9996,2.93,8.9,5
6.8,1.2,67,0.9919,3.05,10.6,4
6.1,1.6,87,0.9914,3.27,10.8,6
6.8,1.1,127,0.9934,3.09,9.1,6
6.8,4.6,135,0.9927,3.2,10.6,5
6.3,1.5,105,0.991,3.32,11.2,6
6,1.5,143,0.9923,3.49,10.8,6
6.7,5.4,140,0.995,3.39,9.7,6
6.9,1.2,125,0.9932,3.17,9.4,5
6.8,13.3,194,0.9974,3.09,9.4,5
7,15.2,171,0.9982,3.22,9.3,5
5.9,12.4,162,0.9973,3.35,9.5,5
7.2,11,178,0.9976,3.16,8.7,5
8.6,12.15,158,0.9983,3,9.3,6
5.5,4.5,102,0.9938,3.24,9.4,6
6.3,1.7,164,0.9928,3.32,10.4,6
7,1,70,0.9899,3.09,12.1,6
6.3,1.8,158,0.9907,3.2,11.4,6
7.8,12.2,140,0.998,3.06,8.9,6
5.9,1.9,78,0.9918,3.43,10.8,6
7.9,2.1,143,0.9942,3.05,9.8,5
6.9,1.3,101,0.9901,3.03,11.4,6
7.9,15.3,171,0.9987,3.09,9.1,5
6.8,4.2,165,0.9945,3.2,9.1,5
7.3,1.2,119,0.992,3.32,10.9,6
6.4,1.1,131,0.9905,2.97,10.8,5
6.5,16.8,222,0.9993,3.18,9,5
6.3,13.9,179,0.9971,3.36,10.4,6
5.7,4.75,94,0.991,3.42,11.8,7
6.2,1,98,0.99345,3.14,9.2,5
6.9,4.6,19,0.9915,3.31,12.6,3
7.4,2.1,113,0.99165,3.26,12.2,6
7.2,7.6,177,0.9928,3.04,11.5,6
5.9,2.2,138,0.9932,3.09,9.1,5
7.1,1.2,136,0.9932,3.3,9.8,7
5.4,4.8,113,0.99445,3.42,9.4,6
6,1.4,75,0.99085,3.34,11.1,8
6,12,246,0.9976,3.15,9,6
6.4,1.1,160,0.99405,3.42,9.1,7
7.9,15.6,229,0.99785,3.03,10.5,6
7.3,10.2,212,0.9971,2.96,9.2,6
6.7,10.2,149,0.99725,3.17,10,7
6.2,1.7,111,0.99,3.24,12.1,6
6.8,12.2,236,0.9976,3.35,9.8,6
7,1.4,128,0.9896,3.12,12.2,7
8.4,1.6,101,0.994,3.06,11.1,4
6.5,12.9,215,0.9967,3.17,10,6
6.2,7.3,244,0.9956,3.36,10,6
8.2,18.2,205,0.99965,2.96,9.6,5
8,5,101,0.992,3.13,12.3,7
8,17.45,184,0.9997,3.05,9.2,6
6.6,1.2,199,0.993,3.37,10.3,7
8.3,1.7,98,0.9943,3.15,10.3,6
7.6,1.4,109,0.9932,3.11,10.3,6
7,1.5,128,0.9941,3.41,10.4,7
7,1.7,61,0.9918,3.07,10.4,5
8.3,1.1,75,0.9934,3.03,9.2,5
7.3,7.5,152,0.9962,3.1,9,5
7,7.5,185,0.9966,3.34,9.4,5
6.2,12,186,0.9974,3.17,9.3,6
6.4,3.2,124,0.9904,3.22,12.7,7
7.5,7.7,180,0.9974,3.37,10.1,6
7.4,8.4,183,0.9963,3.09,8.8,5
5.8,2.6,120,0.9894,3.39,14,7
7,2.2,96,0.9928,3.13,10.4,8
9.8,1.6,124,0.9944,2.93,10.8,5
6,5.2,178,0.9914,3.4,12.3,8
9.2,3.2,133,0.996,3.14,9.5,5
7.9,4.5,114,0.992,3.17,12.4,7
7.3,3.6,116,0.9928,3.17,10.9,5
8,5.2,167,0.9953,3.18,10.6,7
5.7,1.1,150,0.9927,3.13,9.3,5
7.5,4.2,116,0.991,2.99,12.3,8
6.2,1.5,132,0.9938,3.22,9.2,6
7.3,6.8,122,0.9925,3.19,12.6,7
7.3,5.2,163,0.9925,3.3,12.4,6
7.3,4.6,114,0.991,3.23,13.2,6
6.2,1.7,161,0.9924,3.44,11,5
6.8,1.5,167,0.9928,3.12,10.5,6
7.6,1.1,143,0.9907,2.92,11.4,5
7.3,1.2,143,0.9918,3.2,11.3,7
7.6,1.6,103,0.9916,3.07,10.8,7
5.3,1.1,105,0.9925,3.32,9.1,5
7.9,4.5,133,0.9946,3.24,10.6,6
8.5,3.6,128,0.9928,3.28,12.4,6
8,9.1,151,0.9926,3.16,12.7,8
7,0.8,163,0.9931,3.46,10.2,5
7.6,9.6,197,0.9938,3.13,12.3,7
7.3,9.9,161,0.9937,3.01,11.2,6
8.1,8.1,174,0.9943,3.1,11.2,7
7.3,5,107,0.9936,3.24,10.8,6
7.2,1.3,104,0.9924,3.23,10.6,6
6.7,4.7,156,0.9945,3.13,9.9,6
7.8,3.1,116,0.9931,3.16,10.3,5
6.2,1.6,143,0.9937,3.22,9.2,6
9,1,131,0.993,3.09,10.5,7
7.8,7,149,0.9952,3.21,10,5
8.1,15.4,177,1.0004,3.27,9,4
7.1,1.3,123,0.9915,3.27,11.4,6
6.5,4.2,114,0.9955,3.25,8.6,4
7,6.1,120,0.9939,3.24,10.8,5
6.8,6.6,116,0.9953,3.07,9.4,5
9.2,1.1,99,0.9929,2.94,10.4,6
7.5,4.8,87,0.994,3.14,9.9,5
6.5,1.4,141,0.9941,3.34,9.5,6
7,5.7,104,0.9954,3.04,9.4,6
6.4,1.6,127,0.9934,3.6,10.4,7
7.8,10.2,186,0.997,3.14,10,6
5.8,16.05,166,0.9976,3.09,8.9,5
8,2,140,0.994,3.18,9.6,6
6,1.9,120,0.9933,3.16,10.6,5
7.2,5.7,98,0.9914,2.93,12.5,7
8.3,2.1,153,0.9953,3.09,9.6,6
5.7,1.1,197,0.9932,3.02,9,5
7.4,16.6,238,1.0017,2.96,8.7,6
8,9.2,186,0.997,3.09,9.5,7
6.3,3.2,164,0.9927,3.53,11.7,7
6.6,16.7,133,0.9979,3.22,10.4,6
6.5,1.4,101,0.9916,3.24,10.8,6
6.7,12.3,145,0.9983,3.36,9.5,5
8.3,2.1,162,0.9914,2.99,11.9,6
5.5,8.7,102,0.994,3.27,10.4,5
6.4,15.6,142,0.9962,3.1,10.6,5
7.4,12.8,229,0.9986,3.14,9.1,7
7,1.5,125,0.9918,3.17,12.2,6
6.1,6.2,151,0.99471,3.6,10.6,6
7.1,7.8,184,0.99579,3.16,9.4,5
6.1,6.2,151,0.99471,3.6,10.6,6
6,7,194,0.99591,3.21,9,5
7.5,1.4,168,0.9944,3.06,9.4,6
8.3,10.2,118,0.99716,3.18,10.3,5
8.3,2,141,0.99077,2.95,12.2,6
7.4,14.9,169,0.99698,3.25,10.4,6
6.4,1.9,196,0.99516,3.49,9.5,4
8,1.6,93,0.99116,3.15,11.9,6
7,7.3,220,0.99622,3.38,10.1,6
6.8,11.75,198,0.9969,3.26,9.5,5
6.5,8.2,133,0.99612,3.43,9.8,6
6.1,19.95,174,0.99922,3.19,9.3,6
8.6,1.4,119,0.99556,3.17,9.4,4
6.2,7.5,203,0.99573,3.26,9.2,6
5.9,8.6,142,0.99542,3.28,9.5,6
9,12.1,177,0.99706,3.13,10.6,5
6.3,1.1,146,0.99066,3.13,11.2,7
6.3,1.1,146,0.99066,3.13,11.2,7
7.3,14.9,240,0.99902,3.13,8.9,5
6.6,1.8,132,0.99182,3.34,11.4,5
6.5,10,227,0.99582,3.18,9.4,5
5.4,5,107,0.99079,3.48,13.5,7
6.15,3.2,80,0.99076,3.39,12,5
8,1.7,136,0.99316,3.44,10.4,7
6.7,5.2,113,0.99352,3.33,10.1,7
6.8,5.1,204,0.9942,3.23,10.1,5
8.3,8.2,122,0.9979,3.39,9.3,5
6.6,8,187,0.99577,3.21,9.2,5
6.9,3.3,124,0.99428,3.18,9.3,6
6.9,1.2,166,0.99208,3.05,9.8,6
7.8,13.7,184,0.99976,3.22,8.9,5
8.2,13.9,171,0.99873,2.99,9.3,5
6.5,12.4,213,0.9962,3.16,9.9,6
8,2.7,165,0.9952,3.26,9.5,6
6.4,10.8,118,0.99356,3.18,11.2,6
6.9,1.8,95,0.98952,2.93,12,6
6.4,20.2,157,0.99976,3.17,9.1,5
6.6,8,189,0.99604,3.22,9.2,5
7.3,1.6,123,0.99238,3.34,10.8,6
5.3,1,101,0.99156,3.57,10.6,6
6.8,3.95,81,0.98988,3.23,13.4,7
6.2,1.7,153,0.9909,3.33,12,7
5.7,1.1,81,0.9902,3.31,11.4,6
6.4,8.75,118,0.99449,3.19,10.7,5
6.7,2.7,202,0.9948,3.46,10.5,6
6.9,6.3,131,0.99326,3.08,10.8,6
7.7,7.8,196,0.99555,3.1,10.1,5
8,1.2,162,0.9914,3.07,11,6
6.7,1.6,92,0.99264,3.37,10.9,5
7.6,4.5,102,0.99427,3.09,9.5,5
7,15.3,120,0.9975,3.18,9.8,6
8.5,1.1,58,0.99184,2.9,10.5,6
5.1,6.7,129,0.99221,3.36,11,7
6.9,4.5,203,0.99513,3.4,10.4,4
7.2,6.9,128,0.99322,3.08,11,7
6.3,17.6,198,0.99918,3.11,8.8,5
5.8,3.7,88,0.98994,3.25,12.3,6
8.3,7.9,107,0.99306,2.93,11.9,6
5.7,3.7,151,0.9913,3.22,11.2,6
6.5,3.6,92,0.99026,3.22,12.6,8
7.8,1,80,0.99128,3.08,11.4,5
6.6,8.2,196,0.99562,3.14,9.4,5
9.4,8.5,208,0.99395,2.9,11,3
6.8,8.6,159,0.99452,3.08,10.5,6
6.5,11.25,87,0.9922,3.02,12.4,6
6.8,12.6,136,0.99556,3.19,10.7,6
6,1.1,67,0.98954,3.14,11.5,6
5.9,1.7,135,0.99341,3.32,9.5,5
6.1,4.7,140,0.99042,3.16,12.5,8
6.9,8.3,113,0.99139,2.99,12.3,8
7.7,3.3,143,0.99392,3.12,10.8,6
7.2,11.6,214,0.9963,3.1,9.8,6
6.3,4.7,81,0.99036,3.24,12.7,8
6.8,1.4,106,0.99026,3.16,12,5
6,3,118,0.99134,3.38,11.2,7
7.5,4.9,155,0.99385,3.36,10.9,6
8.1,4.3,123,0.99212,3.16,11.2,6
8,9.7,85,0.99406,2.99,11.2,6
7.7,1.4,102,0.9929,3.26,10.4,6
5.6,4.2,158,0.992,3.35,10.7,7
6.7,8.8,167,0.99628,3.04,9.4,5
6.8,26.05,122,1.00295,3.06,10.6,6
6.3,4.7,168,0.99278,3.07,10.7,7
6.6,8,124,0.99362,3.06,10.8,6
6.1,1.8,76,0.99268,3.42,10.4,4
6.8,8,122,0.99164,3.13,12.6,7
7.2,18.8,111,1.00044,3.1,8.7,5
8.5,1.1,95,0.99272,2.83,10,4
7,10.3,166,0.99382,3.08,11.6,6
7,14.7,149,0.99792,2.96,9,7
6.3,13.7,134,0.99567,3.17,10.6,6
8.1,1.3,49,0.99242,2.99,10.3,5
7,2.2,177,0.99166,3.2,11.4,5
8,1.2,103,0.99002,3,12.4,6
6.5,4.8,142,0.9946,3.14,9.2,5
6.4,16.2,176,0.9986,3.26,9.1,5
7.1,1.4,90,0.99212,3.17,10.5,6
7.3,7.2,207,0.99587,3.12,9.2,5
7,12.3,172,0.9954,2.99,10.4,6
6.1,2.8,65,0.9908,2.95,11.4,6
7.1,6.2,139,0.99021,3.17,13.6,6
8.6,0.9,109,0.99249,2.95,10.1,5
8.6,0.9,109,0.99249,2.95,10.1,5
8.7,5.6,67,0.99328,2.96,11,4
6.4,6.6,113,0.99408,2.99,9.9,6
6.3,7.6,200,0.99548,3.16,9.4,4
6.2,2.9,94,0.98998,3.25,12.4,6
7.3,1.4,177,0.99287,3.14,9.9,5
7.4,15.5,135,0.9984,2.9,8.7,7
7.4,15.5,135,0.9984,2.9,8.7,7
6.2,7.9,149,0.99545,3.23,9.3,5
6.9,13.5,118,0.99546,3,10.7,6
7.1,8.4,160,0.99257,3.16,11.8,6
5.4,7.8,91,0.99432,3.19,10.4,6
6.2,1.2,185,0.99266,3.28,10.1,5
7.5,1.5,107,0.99123,3.15,11.3,6
6.3,5.7,147,0.99382,3.08,10,5
7.4,8.6,206,0.9964,3.26,9.1,5
6.8,11.9,149,0.99544,3.02,10.4,6
6.1,10,131,0.994,3.22,10.9,6
6.5,13,123,0.99708,3.09,9.3,6
7.8,1.2,140,0.99138,3.09,11.2,5
6.7,2.6,85,0.99086,3.05,11.7,6
6.1,3.9,113,0.99344,3.07,9.2,4
5.6,10.7,171,0.99464,3.25,10.4,7
7.2,5.5,183,0.99474,3.08,10.3,5
7.1,11.1,204,0.99616,3.05,10,6
6.6,4.8,121,0.99198,3.36,12.6,6
6.4,7.7,191,0.99527,3.16,9.5,5
7.3,13.9,155,0.99807,2.94,8.8,8
7.6,13.2,148,0.99839,2.98,9.1,6
6.4,9.65,119,0.99334,2.99,10.93333333,6
6.6,12.3,146,0.99676,3.1,9.4,5
6.3,16,141,0.99824,3.08,9.1,5
5.8,1.2,108,0.99288,3.23,9.55,4
6.4,7.8,68,0.99394,3.16,9.9,6
6.7,2.9,122,0.98926,3.13,13,6
6.3,8.1,150,0.9958,3.1,9.3,5
6.1,1.1,110,0.9898,3.36,12.5,6
7.3,12.9,162.5,0.9984,3.06,9.1,6
5.8,3.9,105,0.98963,3.26,12.75,6
6.4,5.2,137,0.99304,3.26,11.1,5
6.4,7.2,168,0.99331,3.22,11.1,6
6.6,12.9,177,0.99479,3.12,11.2,6
6.4,4.7,196,0.99556,3.22,8.9,5
6.2,5,188,0.99318,3.23,10.8,6
6,1.3,118,0.99018,3.04,11.73333333,6
6.7,12.5,156,0.99666,2.88,9,6
6,1.1,173,0.99414,3.38,8.8,5
7,1.3,121,0.99334,3.04,9.2,6
5.7,9,111,0.99474,3.36,10.4,6
7.2,1.4,109,0.99246,3.28,10.6,6
6.7,7.9,81,0.99512,3.29,10,6
6.7,7.9,81,0.99512,3.29,10,6
7.9,1.85,106,0.99331,3.24,11.85,5
5.5,1.9,118,0.98972,3.36,12.5,6
6.1,18.35,184,0.99943,3.12,9.3,5
5.2,1.5,96,0.98942,3.56,13,8
5.6,1.1,102,0.99154,3.47,10.6,6
5.6,2.5,182,0.99093,3.21,11.3,5
6.2,2.5,117,0.99132,3.36,11.6,7
5,11.75,118,0.9954,3.07,9.4,6
4.9,11.75,118,0.9954,3.07,9.4,6
